rank,city,recreation_score,rec_entertainment,costs,parks,weather,latitude,longitude
1,"San Diego, CA",58.27,4,70,11,34,,
2,"Las Vegas, NV",58.14,10,38,21,18,,
3,"Orlando, FL",58.13,2,50,54,28,,
4,"Honolulu, HI",56.71,3,85,4,43,,
5,"Tampa, FL",53.73,14,36,74,13,,
6,"Atlanta, GA",52.9,13,64,37,41,,
7,"Cincinnati, OH",52.2,18,9,19,58,,
8,"Scottsdale, AZ",51.96,29,52,24,3,,
9,"Portland, OR",51.31,9,53,25,78,,
10,"Los Angeles, CA",50.93,11,92,55,7,,
11,"San Francisco, CA",50.25,1,99,6,49,,
12,"Denver, CO",49.37,16,60,13,64,,
13,"St. Louis, MO",49.16,19,4,16,94,,
14,"New Orleans, LA",49.14,20,66,8,53,,
15,"Minneapolis, MN",48.96,22,40,2,77,,
16,"Chicago, IL",48.74,5,94,5,92,,
17,"Seattle, WA",48.54,8,89,9,70,,
18,"Sacramento, CA",48.49,25,72,42,9,,
19,"Boise, ID",48.42,42,6,57,26,,
20,"Tucson, AZ",47.46,34,27,82,16,,
21,"El Paso, TX",47.24,87,1,28,25,,
22,"Philadelphia, PA",47.08,17,81,34,52,,
23,"Lincoln, NE",46.95,50,33,18,46,,
24,"New York, NY",46.84,6,100,1,55,,
25,"Henderson, NV",46.68,83,2,69,4,,
26,"Albuquerque, NM",46.63,57,51,12,37,,
27,"St. Petersburg, FL",46.53,37,41,39,40,,
28,"Austin, TX",46.36,15,57,48,81,,
29,"Phoenix, AZ",46.08,53,37,63,17,,
30,"Reno, NV",45.91,47,17,81,27,,
31,"Washington, DC",45.72,7,93,15,93,,
32,"Long Beach, CA",45.04,51,77,43,12,,
33,"Miami, FL",44.89,12,84,65,68,,
34,"Omaha, NE",44.88,39,7,29,75,,
35,"Colorado Springs, CO",44.87,56,12,51,42,,
36,"Birmingham, AL",44.68,58,5,99,59,,
37,"Pittsburgh, PA",44.43,23,42,47,84,,
38,"Chesapeake, VA",44.24,86,26,7,47,,
39,"Jacksonville, FL",44.23,40,25,30,67,,
40,"Virginia Beach, VA",44.16,30,18,27,90,,
41,"Columbus, OH",43.92,45,8,64,61,,
42,"Irvine, CA",43.73,33,96,20,21,,
43,"Cleveland, OH",43.71,26,23,45,83,,
44,"Anaheim, CA",43.62,54,71,95,6,,
45,"Glendale, AZ",43.46,52,80,62,11,,
46,"Oklahoma City, OK",43.4,66,15,76,35,,
47,"San Antonio, TX",43.31,28,10,70,74,,
48,"Madison, WI",43.07,48,48,10,73,,
49,"Kansas City, MO",43.07,67,24,49,44,,
50,"St. Paul, MN",43,35,49,22,69,,
51,"Chandler, AZ",42.82,79,63,66,14,,
52,"Plano, TX",42.74,64,31,61,45,,
53,"Fort Worth, TX",42.65,63,58,56,32,,
54,"Dallas, TX",42.57,31,34,50,72,,
55,"Houston, TX",42.42,24,67,33,86,,
56,"North Las Vegas, NV",42.37,91,73,32,5,,
57,"Milwaukee, WI",42,36,32,35,95,,
58,"Baton Rouge, LA",41.98,43,30,80,54,,
59,"Tulsa, OK",41.91,59,44,78,30,,
60,"Corpus Christi, TX",41.58,60,20,38,66,,
61,"Greensboro, NC",41.39,69,11,44,57,,
62,"Bakersfield, CA",41.26,95,39,94,2,,
63,"Mesa, AZ",41.2,73,65,71,20,,
64,"Raleigh, NC",41.09,46,14,83,79,,
65,"Norfolk, VA",40.9,55,69,17,62,,
66,"Nashville, TN",40.89,27,54,59,88,,
67,"Buffalo, NY",40.51,32,56,36,100,,
68,"Stockton, CA",40.47,97,76,46,10,,
69,"Gilbert, AZ",40.38,80,16,98,14,,
70,"Winston-Salem, NC",40.35,76,47,73,39,,
71,"San Bernardino, CA",40.23,99,79,99,8,,
72,"Lubbock, TX",39.7,82,28,67,48,,
73,"Boston, MA",39.68,21,98,3,98,,
74,"San Jose, CA",39.58,71,86,40,23,,
75,"Arlington, TX",39.46,68,68,87,36,,
76,"Baltimore, MD",39.11,41,78,23,89,,
77,"Riverside, CA",39.07,77,83,92,1,,
78,"Detroit, MI",38.65,78,62,31,60,,
79,"Fresno, CA",38.49,90,59,90,19,,
80,"Indianapolis, IN",38.3,38,19,93,99,,
81,"Santa Ana, CA",38.2,72,87,77,21,,
82,"Laredo, TX",38.16,98,21,91,31,,
83,"Wichita, KS",37.98,81,3,75,85,,
84,"Louisville, KY",37.87,44,45,79,91,,
85,"Lexington-Fayette, KY",37.75,74,22,88,62,,
86,"Toledo, OH",37.6,88,55,58,50,,
87,"Newark, NJ",36.95,89,29,41,97,,
88,"Charlotte, NC",36.94,49,61,97,71,,
89,"Aurora, CO",36.49,84,46,52,65,,
90,"Garland, TX",36.43,96,74,84,33,,
91,"Fremont, CA",36.13,92,97,26,24,,
92,"Durham, NC",35.86,65,43,89,79,,
93,"Memphis, TN",35.16,70,35,96,87,,
94,"Hialeah, FL",35.1,85,88,72,38,,
95,"Anchorage, AK",34.83,62,91,14,82,,
96,"Chula Vista, CA",34.69,100,82,85,29,,
97,"Fort Wayne, IN",34.46,75,13,86,96,,
98,"Oakland, CA",33.95,61,95,68,51,,
99,"Irving, TX",33.39,94,75,60,76,,
100,"Jersey City, NJ",31.91,93,90,53,55,,
